window,rank,R,I,C
7,3,0.0038331721573446045,0.06466550518051035,0.06477901488166098
7,4,0.0038331721573446045,-0.06466550518051035,0.06477901488166098
7,5,-0.05940754762140207,0,0.05940754762140207
7,6,-8.96394281308413e-4,0,8.96394281308413e-4
7,7,-2.0715275908315465e-4,0,2.0715275908315465e-4
7,8,-4.8023005054419507e-5,0,4.8023005054419507e-5
7,9,-1.2804093369621185e-6,3.277740433176719e-6,3.518953028595477e-6
7,10,-1.2804093369621185e-6,-3.277740433176719e-6,3.518953028595477e-6
8,1,-0.11408827274746883,0.45969113007459556,0.47363706468957806
8,2,-0.11408827274746883,-0.45969113007459556,0.47363706468957806
8,3,-0.01676407515917374,0.12279152514737403,0.12393059696443254
8,4,-0.01676407515917374,-0.12279152514737403,0.12393059696443254
8,5,-0.03201426598292929,0,0.03201426598292929
8,6,8.967258654197949e-4,0,8.967258654197949e-4
8,7,-8.598242654424792e-4,0,8.598242654424792e-4
8,8,-1.4825998560751493e-4,0,1.4825998560751493e-4
8,9,-1.0317000744059473e-5,0,1.0317000744059473e-5
8,10,-5.14533575727016e-6,0,5.14533575727016e-6
9,1,-0.14149672586794415,0.4736407485997715,0.4943246728269793
9,2,-0.14149672586794415,-0.4736407485997715,0.4943246728269793
9,3,-0.03176834963966381,0.1973019063994613,0.1998431142363672
9,4,-0.03176834963966381,-0.1973019063994613,0.1998431142363672
9,5,-0.007432968421152419,0,0.007432968421152419
9,6,-0.002075748632708019,0,0.002075748632708019
9,7,5.664563874580486e-4,0,5.664563874580486e-4
9,8,2.5340062025392676e-4,0,2.5340062025392676e-4
9,9,-3.366359607027895e-5,0,3.366359607027895e-5
9,10,1.940503835635311e-5,0,1.940503835635311e-5
10,1,-0.12838913521999942,0.4684906799583085,0.48576464182805396
10,2,-0.12838913521999942,-0.4684906799583085,0.48576464182805396
10,3,-0.044533960865859396,0.1858608757649455,0.19112179051723643
10,4,-0.044533960865859396,-0.1858608757649455,0.19112179051723643
10,5,-0.004240834761608272,0,0.004240834761608272
10,6,7.33962100698879e-4,0.0021743606260485274,0.002294895312944025
10,7,7.33962100698879e-4,-0.0021743606260485274,0.002294895312944025
10,8,-0.0011778019796058628,0,0.0011778019796058628
10,9,1.4499137963971105e-4,0,1.4499137963971105e-4
10,10,-4.215404892396749e-5,0,4.215404892396749e-5
11,1,-0.11543294988440243,0.4562566467755974,0.4706324400696654
11,2,-0.11543294988440243,-0.4562566467755974,0.4706324400696654
11,3,-0.05818674366296503,0.1612980387459944,0.17147231392094736
11,4,-0.05818674366296503,-0.1612980387459944,0.17147231392094736
11,5,0.005088693977470608,0.006841792429487933,0.008526718597710613
11,6,0.005088693977470608,-0.006841792429487933,0.008526718597710613
11,7,-0.005695368169636907,0,0.005695368169636907
11,8,-2.1504414651024936e-4,0,2.1504414651024936e-4
11,9,-5.33654889674328e-5,1.28913808449894e-4,1.395229207757247e-4
11,10,-5.33654889674328e-5,-1.28913808449894e-4,1.395229207757247e-4
12,1,-0.12600584178856145,0.4719384849737887,0.48847047583676845
12,2,-0.12600584178856145,-0.4719384849737887,0.48847047583676845
12,3,-0.05518285626584364,0.15508037334602484,0.16460580130359687
12,4,-0.05518285626584364,-0.15508037334602484,0.16460580130359687
12,5,0.0013996897407507001,0.009306808463793033,0.009411472528360927
12,6,0.0013996897407507001,-0.009306808463793033,0.009411472528360927
12,7,-0.007136172681991462,0,0.007136172681991462
12,8,-7.865620025024994e-5,2.0111927166573923e-4,2.1595314138295104e-4
12,9,-7.865620025024994e-5,-2.0111927166573923e-4,2.1595314138295104e-4
12,10,-1.6073310476049957e-4,0,1.6073310476049957e-4
13,1,-0.13324483737123766,0.46842946229864285,0.4870116506157561
13,2,-0.13324483737123766,-0.46842946229864285,0.4870116506157561
13,3,-0.053596140793756825,0.1444395582907041,0.15406275444505693
13,4,-0.053596140793756825,-0.1444395582907041,0.15406275444505693
13,5,-6.876676494133405e-4,0.01130500606774994,0.01132590168542499
13,6,-6.876676494133405e-4,-0.01130500606774994,0.01132590168542499
13,7,-0.007126103188131528,0,0.007126103188131528
13,8,-6.824076205785363e-5,2.7540580759888696e-4,2.8373431316185875e-4
13,9,-6.824076205785363e-5,-2.7540580759888696e-4,2.8373431316185875e-4
13,10,-1.9527747195434962e-4,0,1.9527747195434962e-4
14,1,-0.14062940053567052,0.4737651859141227,0.494196397881718
14,2,-0.14062940053567052,-0.4737651859141227,0.494196397881718
14,3,-0.049513658840043245,0.13457824235213028,0.14339771869286105
14,4,-0.049513658840043245,-0.13457824235213028,0.14339771869286105
14,5,-0.0015747185451084954,0.01170342119402616,0.011808886744358645
14,6,-0.0015747185451084954,-0.01170342119402616,0.011808886744358645
14,7,-0.007006300740944722,0,0.007006300740944722
14,8,-1.7826916392397254e-4,2.891814763377581e-4,3.3971432272283947e-4
14,9,-1.7826916392397254e-4,-2.891814763377581e-4,3.3971432272283947e-4
14,10,-1.1319458372296478e-4,0,1.1319458372296478e-4
15,1,-0.1373953263314916,0.45959409533350937,0.4796917845483326
15,2,-0.1373953263314916,-0.45959409533350937,0.4796917845483326
15,3,-0.04423694703788655,0.11806206866516539,0.12607759333335566
15,4,-0.04423694703788655,-0.11806206866516539,0.12607759333335566
15,5,-0.0030185138294246913,0.011422999130507391,0.011815089287601712
15,6,-0.0030185138294246913,-0.011422999130507391,0.011815089287601712
15,7,-0.006693010370622276,0,0.006693010370622276
15,8,-3.248070731074488e-4,1.239219693255197e-4,3.476439115275034e-4
15,9,-3.248070731074488e-4,-1.239219693255197e-4,3.476439115275034e-4
15,10,-1.1947918156841213e-4,0,1.1947918156841213e-4
