Product,M5_copies,M6_copies,M8_copies,I6_copies,Classification,In_novel_region
ribokinase,3,3,3,2,copy_number_variant,yes
ribonuclease J,1,1,1,2,I6_specific,no
ribose-phosphate diphosphokinase,2,2,2,2,ancestral,no
ribosomal protection-like ABC-F family protein,6,6,6,1,isolate_specific,no
ribosome small subunit-dependent GTPase A,2,2,2,2,ancestral,no
ribulokinase,2,2,2,2,ancestral,no
ribulose-phosphate 3-epimerase,3,3,3,2,copy_number_variant,yes
right-handed parallel beta-helix repeat-containing protein,1,1,1,7,I6_specific,no
rod shape-determining protein,1,1,1,2,I6_specific,no
saccharopine dehydrogenase family protein,1,1,1,2,I6_specific,no
sensor domain-containing diguanylate cyclase,1,1,1,5,I6_specific,no
sensor histidine kinase,1,1,1,65,I6_specific,yes
serine hydrolase,1,1,1,4,I6_specific,no
serine hydrolase domain-containing protein,1,1,1,6,I6_specific,no
serine--tRNA ligase,2,2,2,2,ancestral,no
serine-type D-Ala-D-Ala carboxypeptidase,2,2,2,1,isolate_specific,no
serine/threonine protein kinase,1,1,1,3,I6_specific,no
serine/threonine-protein kinase,1,1,1,2,I6_specific,no
sigma factor-like helix-turn-helix DNA-binding protein,1,1,1,3,I6_specific,no
sigma-54 interaction domain-containing protein,1,1,1,2,I6_specific,no
sigma-70 family RNA polymerase sigma factor,1,1,1,9,I6_specific,no
signal peptidase I,2,2,2,2,ancestral,no
small%2C acid-soluble spore protein%2C alpha/beta type,1,1,1,2,I6_specific,no
sn-glycerol-1-phosphate dehydrogenase,1,1,1,2,I6_specific,no
spore coat protein,1,1,1,6,I6_specific,no
spore cortex-lytic enzyme,2,2,2,2,ancestral,no
spore germination protein,1,1,1,18,I6_specific,no
spore protease YyaC,2,2,2,2,ancestral,no
sporulation protein YjcZ,1,1,1,4,I6_specific,no
stage II sporulation protein M,1,1,1,2,I6_specific,no
stage V sporulation protein AC,2,2,2,2,ancestral,no
stage V sporulation protein AD,2,2,2,2,ancestral,no
stage VI sporulation protein F,1,1,1,2,I6_specific,no
stalk domain-containing protein,2,2,2,8,copy_number_variant,no
substrate-binding domain-containing protein,1,1,1,5,I6_specific,no
sucrose phosphorylase,2,2,2,2,ancestral,no
sucrose-specific PTS transporter subunit IIBC,1,1,1,2,I6_specific,no
sugar ABC transporter ATP-binding protein,1,1,1,3,I6_specific,no
sugar ABC transporter permease,1,1,1,4,I6_specific,no
sugar ABC transporter substrate-binding protein,1,1,1,6,I6_specific,no
sugar phosphate isomerase/epimerase family protein,1,1,1,14,I6_specific,no
sugar phosphate nucleotidyltransferase,1,1,1,4,I6_specific,no
sugar transferase,1,1,1,2,I6_specific,no
sugar-binding protein,1,1,1,2,I6_specific,no
sulfatase,1,1,1,5,I6_specific,no
sulfatase family protein,1,1,1,2,I6_specific,no
sulfatase-like hydrolase/transferase,1,1,1,3,I6_specific,no
superoxide dismutase,1,1,1,2,I6_specific,no
suppressor of fused domain protein,1,1,1,2,I6_specific,no
tagaturonate reductase,1,1,1,2,I6_specific,no
tautomerase family protein,1,1,1,2,I6_specific,no
tetratricopeptide repeat protein,1,1,1,8,I6_specific,no
thiamine phosphate synthase,1,1,1,2,I6_specific,no
thiol reductant ABC exporter subunit CydC,1,1,1,2,I6_specific,no
thioredoxin,4,4,4,3,copy_number_variant,yes
thioredoxin family protein,1,1,1,3,I6_specific,no
thioredoxin-disulfide reductase,2,2,2,2,ancestral,no
threonine synthase,2,2,2,2,ancestral,no
threonine--tRNA ligase,2,2,2,2,ancestral,no
threonine/serine exporter family protein,1,1,1,2,I6_specific,no
transcriptional regulator,3,3,3,4,copy_number_variant,no
transglutaminase domain-containing protein,1,1,1,2,I6_specific,no
transglutaminase-like domain-containing protein,1,1,1,2,I6_specific,no
transketolase,1,1,1,3,I6_specific,no
transketolase family protein,1,1,1,2,I6_specific,no
transporter substrate-binding domain-containing protein,1,1,1,2,I6_specific,no
transposase,7,7,7,59,copy_number_variant,no
twin-arginine translocase TatA/TatE family subunit,1,1,1,2,I6_specific,no
type I glutamate--ammonia ligase,2,2,2,2,ancestral,no
type I methionyl aminopeptidase,4,4,4,3,copy_number_variant,yes
type I-C CRISPR-associated protein Cas5c,1,1,1,2,I6_specific,yes
type I-C CRISPR-associated protein Cas7/Csd2,1,1,1,3,I6_specific,yes
type I-C CRISPR-associated protein Cas8c/Csd1,1,1,1,2,I6_specific,yes
type II secretion system F family protein,1,1,1,3,I6_specific,no
type II toxin-antitoxin system RelE/ParE family toxin,1,1,1,2,I6_specific,no
type II toxin-antitoxin system prevent-host-death family antitoxin,1,1,1,2,I6_specific,no
tyrosine recombinase XerS,2,2,2,2,ancestral,no
tyrosine--tRNA ligase,2,2,2,2,ancestral,no
tyrosine-type recombinase/integrase,1,1,1,7,I6_specific,no
undecaprenyl-diphosphate phosphatase,2,2,2,2,ancestral,no
undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,2,2,2,1,isolate_specific,yes
universal stress protein,1,1,1,2,I6_specific,no
uracil-DNA glycosylase,1,1,1,2,I6_specific,no
vWA domain-containing protein,1,1,1,5,I6_specific,no
von Willebrand factor type A domain protein,2,2,2,1,isolate_specific,no
winged helix-turn-helix domain-containing protein,1,1,1,3,I6_specific,no
winged helix-turn-helix transcriptional regulator,1,1,1,11,I6_specific,no
xanthine phosphoribosyltransferase,2,2,2,2,ancestral,no
zf-HC2 domain-containing protein,1,1,1,2,I6_specific,no
zinc ribbon domain-containing protein,1,1,1,3,I6_specific,no
zinc-binding alcohol dehydrogenase family protein,1,1,1,3,I6_specific,no
zinc-binding dehydrogenase,1,1,1,3,I6_specific,no
zinc-dependent alcohol dehydrogenase,1,1,1,2,I6_specific,no
