series1,series2,sbd,cogroup1,cogroup2,same_cogroup,pair_type,relationship,overlap
m1.C5,m1.C2,0.5867377680016278,2,1,FALSE,clone-clone,between co-clusters,0
m1.C6,m1.C2,0.4649141212199046,2,1,FALSE,clone-clone,between co-clusters,0
m1.C7,m1.C2,0.6282715135886349,2,1,FALSE,clone-clone,between co-clusters,0
m1.C8,m1.C2,0.7505320237587452,3,1,FALSE,clone-clone,between co-clusters,0
m1.C9,m1.C2,0.6758075636932741,4,1,FALSE,clone-clone,between co-clusters,0
m1.Enterobacteriaceae,m1.C2,0.51885292164399055,5,1,FALSE,clone-species,between co-clusters,0
m1.Lachnospiraceae,m1.C2,0.5957001249424543,5,1,FALSE,clone-species,between co-clusters,0
m1.Muribaculaceae,m1.C2,0.49550154176504535,5,1,FALSE,clone-species,between co-clusters,0
m1.Paenibacillaceae,m1.C2,0.12370261332082078,1,1,TRUE,clone-species,within co-cluster,0
m1.Ruminococcaceae,m1.C2,0.5093946477635167,6,1,FALSE,clone-species,between co-clusters,0
m2.C1,m1.C2,0.07801638662151344,1,1,TRUE,clone-clone,within co-cluster,0.125
m2.C2,m1.C2,0.2601048761131787,2,1,FALSE,clone-clone,between co-clusters,0.0625
m2.C3,m1.C2,0.4139542279157762,2,1,FALSE,clone-clone,between co-clusters,0
m2.C4,m1.C2,0.6431011655744363,3,1,FALSE,clone-clone,between co-clusters,0.125
m2.C5,m1.C2,0.41928777066459255,2,1,FALSE,clone-clone,between co-clusters,0
m2.Enterobacteriaceae,m1.C2,0.4949929354426691,5,1,FALSE,clone-species,between co-clusters,0
m2.Muribaculaceae,m1.C2,0.5667051051387473,5,1,FALSE,clone-species,between co-clusters,0
m2.Paenibacillaceae,m1.C2,0.34311053171821815,1,1,TRUE,clone-species,within co-cluster,0
m3.C1,m1.C2,0.07706143887129058,1,1,TRUE,clone-clone,within co-cluster,0.1875
m3.C2,m1.C2,0.4149870961553257,2,1,FALSE,clone-clone,between co-clusters,0.0625
m3.C3,m1.C2,0.5746344692178864,2,1,FALSE,clone-clone,between co-clusters,0
