window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse
1,Enterobacteriaceae,C13,-8.232978318619244e-5,-8.448729505734296e-5,Enterobacteriaceae→C13,competition,other,m4
1,Paenibacillaceae,C13,0.09500493003229304,0.09931206045905128,Paenibacillaceae→C13,mutualism,C-focal,m4
1,C1,C14,-0.2243307985295323,-0.21274860252104807,C1→C14,competition,C-C,m4
1,C2,C14,0.02056077048972322,0.01946616095621245,C2→C14,mutualism,C-C,m4
1,C3,C14,-0.4161904635953714,-0.4098672847509583,C3→C14,competition,C-C,m4
1,C4,C14,-0.45099590843866016,-0.4365582342536981,C4→C14,competition,C-C,m4
1,C5,C14,-0.5112001777479644,-0.486053288553859,C5→C14,competition,C-C,m4
1,C6,C14,-0.317778682924142,-0.3106977699862357,C6→C14,competition,C-C,m4
1,C7,C14,-0.6946613180394393,-0.6878625401728141,C7→C14,competition,C-C,m4
1,C8,C14,-0.03662973472095646,-0.05335853174381769,C8→C14,competition,C-C,m4
1,C9,C14,-0.5480511866621425,-0.5473154763807512,C9→C14,competition,C-C,m4
1,C10,C14,0.129329143810761,0.10388908640869624,C10→C14,mutualism,C-C,m4
1,C11,C14,-0.6545285430582085,-0.6455612063740462,C11→C14,competition,C-C,m4
1,C12,C14,-0.6412580074153125,-0.6380762575426892,C12→C14,competition,C-C,m4
1,C13,C14,-0.7818058726980158,-0.7807365668029314,C13→C14,competition,C-C,m4
1,C14,C14,-0.6970982123369776,-0.6970982123369776,C14→C14,competition,C-C,m4
1,Enterobacteriaceae,C14,-7.350999955875284e-5,-7.533320534726907e-5,Enterobacteriaceae→C14,competition,other,m4
1,Paenibacillaceae,C14,0.0848272896450973,0.08855172649265541,Paenibacillaceae→C14,mutualism,C-focal,m4
1,C1,Enterobacteriaceae,-2.4242721918174785e-5,-2.2434643211920272e-5,C1→Enterobacteriaceae,competition,other,m4
1,C2,Enterobacteriaceae,2.2219376236926083e-6,2.052734403814629e-6,C2→Enterobacteriaceae,mutualism,other,m4
1,C3,Enterobacteriaceae,-4.497639084813661e-5,-4.32210890631658e-5,C3→Enterobacteriaceae,competition,other,m4
1,C4,Enterobacteriaceae,-4.873770550535315e-5,-4.60356877114559e-5,C4→Enterobacteriaceae,competition,other,m4
1,C5,Enterobacteriaceae,-5.524379102156116e-5,-5.1255011696763265e-5,C5→Enterobacteriaceae,competition,other,m4
1,C6,Enterobacteriaceae,-3.434134007524443e-5,-3.276352245693769e-5,C6→Enterobacteriaceae,competition,other,m4
1,C7,Enterobacteriaceae,-7.506985786584232e-5,-7.253608477214563e-5,C7→Enterobacteriaceae,competition,other,m4
1,C8,Enterobacteriaceae,-3.958459910977211e-6,-5.62673318554955e-6,C8→Enterobacteriaceae,competition,other,m4
1,C9,Enterobacteriaceae,-5.922616333676063e-5,-5.771519667561406e-5,C9→Enterobacteriaceae,competition,other,m4
