ID,11,17,19,9,4,10,12,3,2,1,6,5,8,13,7,mean,points
1260,1.406074888931609e-5,4.65185786480887e-6,2.147792003393954e-5,2.067148870155489e-5,5.354112324833328e-4,2.238828358432838e-7,0,3.704664951996172e-4,4.880664268876243e-4,0,4.0760542725512714e-5,1.2146192838951736e-4,3.159888079773632e-5,6.482849520299524e-6,2.59259961643929e-5,1.1208401669956639e-4,13
1330,0,9.30371572961774e-6,2.214218560199953e-7,1.7718418887047047e-5,1.3329740227800818e-6,1.0970258956320906e-5,0,7.977659186400849e-5,0,0,5.746568318678842e-5,1.5439073040420795e-4,2.282141390947623e-5,5.064726187734003e-6,2.7606384804677627e-5,2.57781546539119e-5,11
1344,2.0514863133592327e-5,3.285374617021264e-5,2.2142185601999528e-5,3.691337268134802e-5,0,2.3731580599388083e-5,5.4893870293493e-5,1.1619176440351631e-4,4.3372603819431376e-5,0,1.0958572142596861e-4,1.1258889790651691e-4,6.695953311901267e-5,3.444013807659122e-5,5.329232544902985e-5,4.8498706845340033e-5,13
1573,1.5121067658018615e-4,1.0350383749199736e-4,6.709082237405856e-5,4.862721627889579e-4,0.002328705617796803,2.6843552017609727e-4,1.452935630746921e-4,2.1049232681796433e-7,1.844582001516047e-5,0,0.0014230552320945394,0.003217952388501499,7.746741490810118e-4,1.5315731991707624e-4,9.41017638559446e-4,6.719350160518896e-4,14
1659,0,1.4827796944078272e-5,2.0813654465879557e-5,0,3.776759731210231e-5,3.1343597018059733e-6,7.241319059992693e-6,3.641517253950783e-5,1.762323614961953e-4,0,1.4923258812072962e-5,3.214008819397943e-5,1.4796301325924148e-5,1.0939808565505447e-5,8.882054241504975e-6,2.520758484390326e-5,12
1686,1.1755708087788861e-5,1.6281502526831043e-5,0,4.503431467124458e-5,1.368519996720884e-4,1.1641907463850758e-5,2.149036624255896e-5,4.2098465363592867e-7,1.7698016501032344e-5,3.7863671094949215e-7,1.2539992106264293e-4,2.855144030974369e-4,5.3417155634268535e-5,4.051780950187202e-7,7.417715569256858e-5,5.33644833407944e-5,14
1784,0.0023220981034585294,0.0023157529933251655,0.002194733436870193,0.0018193370948880393,1.9994610341701227e-6,0.002186663657681353,0.002656863322205061,1.936529406725272e-4,1.8022064690487866e-4,1.2116374750383749e-5,6.341271319100257e-4,2.1098094704023307e-5,0.0017238944968542814,0.0023263300325499824,0.0011258603889907658,0.0013143165451199586,15
1874,1.0372683606872525e-5,2.471299490679712e-5,5.0927026884598914e-6,1.3780992467703259e-5,0,1.3209087314753745e-5,5.839773435477979e-6,0,2.4926783804270904e-7,0,2.3387196645785984e-5,3.9632869490735375e-5,2.3322983445948234e-5,1.478900046818329e-5,1.72839974429286e-5,1.277823665011258e-5,12
1903,5.209392211451535e-5,2.8201888305403773e-5,2.391356045015949e-5,5.167872175388722e-5,2.2549477218696383e-4,5.52990604532911e-5,3.7841731861897304e-5,0,0,0,1.1515410157972718e-4,1.603060840595416e-4,1.1435785431561714e-4,2.6741754271235535e-5,8.593987617456165e-5,6.513488850178674e-5,12
1932,1.1064195847330694e-5,0,1.0628249088959774e-5,1.599579482858414e-5,0,1.589568134487315e-5,1.4249047182566267e-5,0,2.4926783804270904e-7,0,3.675130901480655e-5,5.5801502815313986e-5,2.3573768214184234e-5,1.2560520945580327e-5,2.4245607524108175e-5,1.4734329642956667e-5,11
