cluster,m5.C1,m5.C2,m5.C3,m5.C4,m5.C5,m5.C6,m5.C7,m5.C8,m5.C9,m6.C1,m6.C2,m6.C3,m6.C4,m6.C5,m6.C6,m7.C1,m7.C2,m7.C3,m7.C4,m7.C5,m7.C6,m7.C7,m8.C1,m8.C2,m8.C3,m8.C4,m8.C5,m8.C6,m8.C7
m6.C2,10.193713740303377,0.8690671896042074,10.648659785338275,-0.4875817810468604,-1.6709349244455352,0.9347499202019939,-2.35553961799116,-0.29343022076203706,-1.9685615015776416,-1.1992045172348018,31.05522341919438,-4.661878240572974,-0.6990222839995335,-0.33470693196562085,-2.33227329462669,-0.7464740171461774,18.546758476887547,2.1672290909204976,-1.1156063501721014,-0.7571068415545879,-2.636326408610839,-2.222171217664471,14.180714077055297,3.8572070183832925,-1.6220428865924577,-1.9424508992385336,-2.322857790224514,-0.33674483608038475,-0.49112200270673534
m6.C3,-6.387972075261145,1.2907436676682156,-2.1895401675779054,0.7738718101772804,7.865120371094613,-3.2307672398810006,0.09601855828453174,-0.07376433061167331,-7.105631245032485,-10.649586494532087,-4.758904689993257,30.323171906074105,-6.11897901208455,-3.588539725971016,-21.307259187988112,-5.333043491398081,-3.027204517567238,6.291603611128262,5.800093450901329,3.2015986303964232,-0.5528969315666218,-8.556682524179921,-3.125116790074785,-6.832695918360922,5.18133076717872,0.7484616032253715,-3.9600883845226282,-2.759543715458136,1.016543013265229
m6.C4,-1.1255962820873107,0.2702966755802629,-0.40431760692891827,2.729396285294578,5.189745549648423,-0.8234202586343347,0.916523663323446,-0.4158499165034997,-2.6828452019532305,-1.5418029764054049,-0.6822257593936676,-6.393846066122039,29.6205633977659,-0.5223233092900833,-3.17026293425699,0.0933101006937021,-0.565099311908621,-0.8176565764106735,5.8367092910637846,1.1773701226797897,0.21295086029815874,-2.972811035240972,-0.5489918071420146,-1.169179093898703,-1.4939903425410581,1.3235483047047663,-2.6261011511123336,20.921360210307427,0.9013918890531263
m6.C5,-0.6090192640734047,-0.4918537717451623,-0.222159637247412,5.990267988800202,4.53985088417181,-0.4491624710189543,-1.694187060961847,-0.1846402914548769,-1.539895064016533,-0.8473497239748466,-0.37772876710333503,-3.4315515731570545,-0.5024346696677697,31.006752106782386,-1.624806880596383,-0.5347373727282067,-0.28341067030053935,0.9445271337848724,3.0750941356153616,1.403617793594186,-1.9349454148534906,-1.6259270517335365,-0.29152079685675947,-0.6389636804052613,-0.7485841939502171,-1.3744856234970697,-0.9027882268657951,-0.2940825624440247,-0.3371357217385652
m6.C6,-3.6804598881572175,-2.8625228630465736,-1.2285738654416518,-1.2871636456899136,-6.23665319499391,-0.7872244007510772,0.8607013213381107,3.482619138199881,9.572107970788258,-5.130342897434063,-2.24061612858735,-20.709863602873984,-3.1179427099369303,-1.7552591668211097,28.739680860574413,-3.0606085351127077,-1.7688494637091043,-5.463989600882929,-2.463259294667621,-2.54896228866036,3.0587958373478417,8.195432279055188,-1.7771192277769239,-3.6773958991674194,-7.55566343218827,2.0774349948759268,9.310779556529058,0.021700335499772416,-0.7894964728299382
m7.C1,27.049831887456367,10.512735762702174,1.4606812464011931,-0.7566209574563877,-2.861636503307791,-1.0120789122961156,-3.8648564252091235,-0.5360274034134023,-3.2016271831448786,32.78073496694673,-0.7386031164188248,-5.175084326592572,0.11452963283311293,-0.5489084562322423,-3.075918110875997,37.61798600775541,-0.877779957349899,-3.10533004971791,-2.254504128766762,-1.5734148968260293,-5.944728248834855,-4.976989576815585,2.059200003708725,32.202979939647065,-3.5465544939169127,-2.9455114880928686,-4.0224241783102315,-0.6324941862266881,-0.8518190785412589
m7.C2,16.74761304030181,-0.6769172885936767,10.119936233741793,-0.4407033068070291,-1.6113787565572424,-0.6053443113322108,-2.295396383824603,-0.3069224608483789,-1.8567572781286799,10.191955036425345,18.986764268516907,-3.0793138911651705,-0.5627532427507348,-0.32678353122646026,-1.7164307134703845,-0.8736616756560602,39.76969818777826,-1.8004075138779887,-1.284700299837867,-0.8971923451235408,-3.217677510005625,-2.796367223817265,28.658278288753724,6.084471785701634,-2.1888344383661127,-1.9164269126621754,-2.3533239856227337,-0.3714004133655159,-0.5048517899495885
m7.C3,1.22016752437322,6.422949826707912,-1.0343752959075463,4.146010469150368,9.868995000502979,-1.574719180178543,-4.865592150292342,-1.0681134367874123,-6.161697482616132,-0.3004572790226772,2.2138699840229714,6.058075043122347,-0.8630015947381567,0.9505949522832742,-5.389227447664328,-3.059838404768035,-1.8128171477117099,36.8184549608105,-4.816841892128865,-3.338554026631983,-11.938824221746751,-9.732648147034107,-1.5273705697505389,0.6569425439673588,13.321695803527948,-3.3993917625552266,-7.165863797342456,-1.3432343228936148,-0.38060507009001626
m7.C4,-2.1764779789977675,-1.1243459835575695,-0.7641905886864918,1.519479085488214,11.475869881709437,-1.6258383283534017,0.08409306086543633,-0.7647821354875083,-4.370328439374766,-2.4216194726583407,-1.14483080230069,5.708507745432131,6.016171381378966,3.234540855431346,-2.455024671791042,-2.271732129510724,-1.312589099361958,-4.85698206011304,37.75069946424553,-2.411284667220345,-8.626371337537474,-7.67935295542675,-1.0690424623237569,-2.363117274427761,9.441703175024818,1.0701632247897135,-5.101842608641184,4.521611309265024,1.3423647337730538
m7.C5,-1.5531822595797697,-0.2819925649537259,-0.5322111879282755,-0.7979273617838066,5.029070216875823,-1.1344824876454755,1.1536550873745173,-0.523367736057372,-3.457746216542252,-1.7802854092634026,-0.7525467289381051,3.255465095378181,1.076804567199728,1.4226031746466807,-2.4333023860478837,-1.548244005645451,-0.8864978079134271,-3.296893967159655,-2.3057685212867254,36.39624935196388,-6.124094780821006,-5.058600504171726,-0.7457733820936265,-1.6235071679937134,6.303324516504718,1.1097796554715404,-3.903871880075212,0.7892898942690506,-0.8836782221499282
