label1,label2,overlap,z_score,neg_log_p,correlation,significant
m4.C1,m1.C3,0,-2.1707482883434515,1.5236002031019982,0.6824308097987819,TRUE
m4.C2,m1.C3,0,-0.39654760117796706,0.16008153423401292,0.32207064196582147,FALSE
m4.C3,m1.C3,0.1,-0.45856389650008,0.18939965196385,0.4233609947751905,FALSE
m4.C4,m1.C3,0.125,-1.2353114433072583,0.6641117963455859,0.933074419294641,FALSE
m4.C5,m1.C3,0,-1.6368213173900465,0.9928165306093435,0.6448880085020497,FALSE
m4.C6,m1.C3,0.17,0.38693251654828625,0.15564327050461182,0.8354780012756013,FALSE
m4.C7,m1.C3,0.07894736842105263,-1.9423572079856595,1.2832133623933333,0.43372490708652645,FALSE
m4.C8,m1.C3,0.125,-0.20168834195249932,0.07563780413408783,0.7810255495840186,FALSE
m4.C9,m1.C3,0.08695652173913043,-1.6190169404610542,0.9769796998772536,0.4131578004212544,FALSE
m4.C10,m1.C3,0,-0.8550129249633202,0.40611166474319943,0.5997674513866993,FALSE
m4.C11,m1.C3,0.18181818181818182,0.22639488399498187,0.08571275640460742,0.25411945969910765,FALSE
m4.C12,m1.C3,0.11538461538461539,-0.5846636523087461,0.2527638886937064,0.13831170871267506,FALSE
m4.C13,m1.C3,0.08163265306122448,-1.4542729846033742,0.8360321197288025,-0.2595814560742289,FALSE
m4.C14,m1.C3,0.030303030303030304,-1.9988080340615328,1.340757828940768,0.17056182679047605,TRUE
m1.C5,m1.C4,0,-0.6001302737775045,0.26088717642554354,0.7409143057486748,FALSE
m1.C6,m1.C4,0,-3.1157842450422812,2.73646702529871,0.8295361255941687,TRUE
m1.C7,m1.C4,0,-0.682942549369861,0.30570800443415985,0.5447735698148382,FALSE
m1.C8,m1.C4,0,-4.05092833416912,4.2923035414763495,0.7899766983759878,TRUE
m1.C9,m1.C4,0,-1.478044037843123,0.8557497150153023,0.3477370652662545,FALSE
m2.C1,m1.C4,0,-1.157482988994169,0.6071710459028059,0.5311827863191712,FALSE
m2.C2,m1.C4,0.4838709677419355,1.283605258802591,0.7005360483932289,0.8606189592341685,FALSE
m2.C3,m1.C4,0,-0.6450401541731899,0.28491535462341205,0.5918023054061975,FALSE
m2.C4,m1.C4,0.03225806451612903,-1.4732737627234416,0.8517761842667932,0.27729556671899047,FALSE
m2.C5,m1.C4,0.05555555555555555,0.6304404439334418,0.2770318842587829,0.6060801377127033,FALSE
m3.C1,m1.C4,0,-0.9766261952463354,0.48312862972987275,0.6514404050178605,FALSE
m3.C2,m1.C4,0.45161290322580644,0.39936667053535996,0.16138823200136218,0.9376162769142643,FALSE
m3.C3,m1.C4,0.03225806451612903,0.07633490405417231,0.02726380827883855,0.7139015673271115,FALSE
m3.C4,m1.C4,0,-0.645174395028197,0.28498816480400285,0.4624057314858926,FALSE
m3.C5,m1.C4,0.03225806451612903,-0.5828506014060901,0.25181672123886006,0.4096390547927813,FALSE
m3.C6,m1.C4,0.03225806451612903,-0.9739269365099469,0.4813639246346343,-0.21964997605998926,FALSE
m3.C7,m1.C4,0,-0.7803302274170274,0.3613145810668001,0.1634487763177428,FALSE
m3.C8,m1.C4,0,-0.6562162036047249,0.2909972932586453,0.281125815139483,FALSE
m3.C9,m1.C4,0.05263157894736842,0.8324213249537533,0.39236146524253124,-0.03617984599634183,FALSE
m3.C10,m1.C4,0.07692307692307693,1.2855669982789542,0.7020333946266376,0.1494899928153811,FALSE
m3.C11,m1.C4,0,-0.7882040847089276,0.36594882928628697,0.11843441081393158,FALSE
m3.C12,m1.C4,0,-0.45279687964099397,0.1866225232480541,-0.29704256566218845,FALSE
m3.C13,m1.C4,0,-0.44962333081322564,0.18509874876240895,0.7567610512606388,FALSE
m4.C1,m1.C4,0,-0.8698393834897091,0.4152299692406254,0.5226664954533259,FALSE
m4.C2,m1.C4,0,-0.16330141190254127,0.06034043687861112,0.12977503868009754,FALSE
m4.C3,m1.C4,0,-0.5504813249372396,0.23508501299045087,0.2610342243879682,FALSE
m4.C4,m1.C4,0.16129032258064516,0.08968512414959154,0.032200581342113,0.9078615778670823,FALSE
m4.C5,m1.C4,0,-0.6615367988123733,0.2939071266318647,0.5323973677103959,FALSE
m4.C6,m1.C4,0.12903225806451613,0.7805248175082121,0.3614288582608757,0.7742538708996085,FALSE
m4.C7,m1.C4,0.03225806451612903,-0.8427069671749654,0.39860025827265855,0.5599930979122336,FALSE
m4.C8,m1.C4,0,-0.483251971059061,0.2014067778016668,0.7452689801718988,FALSE
m4.C9,m1.C4,0.12903225806451613,1.441745692885835,0.8257246162191664,0.48160863862247816,FALSE
m4.C10,m1.C4,0,-0.36829903959142907,0.1471235468563101,0.7481987984313315,FALSE
m4.C11,m1.C4,0,-0.5775338363101306,0.24904528421738747,0.37626228181097343,FALSE
m4.C12,m1.C4,0,-0.8932147103616231,0.4297581330270325,0.22520298102017844,FALSE
m4.C13,m1.C4,0,-1.194927537589518,0.6342961519080623,-0.10898510758271684,FALSE
m4.C14,m1.C4,0,-1.032501059192375,0.5202268743512181,0.3181272897238381,FALSE
m1.C6,m1.C5,0,-1.5569798834492508,0.9227220098859235,0.8055700999202999,FALSE
m1.C7,m1.C5,0,-0.3738001611733105,0.14962765908889916,0.5939338827002606,FALSE
m1.C8,m1.C5,0,-2.04035578344382,1.3838932678492981,0.47213384174461726,TRUE
m1.C9,m1.C5,0,-0.7235943041618477,0.32853571362689155,0.4709283692217301,FALSE
m2.C1,m1.C5,0,-0.5937805710071484,0.2575428430525111,0.46385844528310516,FALSE
m2.C2,m1.C5,0.5,0.8208251053111777,0.3853707205842757,0.5595146048665474,FALSE
m2.C3,m1.C5,0.125,3.1597056003292483,2.801539134664091,0.4848780188631474,TRUE
m2.C4,m1.C5,0.25,1.0582075311079107,0.5376606529488213,-0.08000885885926179,FALSE
m2.C5,m1.C5,0,-0.36566323384721344,0.14592703094738602,0.3297368908884435,FALSE
m3.C1,m1.C5,0,-0.5079078698684736,0.2135907867224504,0.6297941307147821,FALSE
m3.C2,m1.C5,0.875,2.7523524639732777,2.2279072350460583,0.7279996789996931,TRUE
m3.C3,m1.C5,0,-0.523880281601197,0.22158694147361363,0.7756535480323122,FALSE
