ID,5,15,18,9,8,3,14,13,17,16,2,4,11,7,6,10,12,mean,points
1420,7.000288761911429e-5,7.934364179726457e-6,0,1.110693011856143e-5,1.376297280212526e-5,0,0,2.376237086000094e-6,0,2.3788133368962672e-6,2.744097788668797e-7,0,7.711455830323295e-6,3.4289980239174244e-5,4.7748343003448206e-5,6.878452302375617e-6,5.82067941880516e-7,1.2061583190499561e-5,12
1421,2.5084368063515956e-4,0,0,2.0530992037340826e-5,2.016435550078817e-5,5.403753416535842e-5,1.0069969504775684e-6,1.6973122042857811e-6,1.9302417080837557e-6,0,5.2137857984707145e-5,7.389027266625939e-5,5.860706431045704e-6,4.539340241185924e-5,1.677644483904937e-4,3.0379831002158973e-5,2.619305738462322e-6,4.283864340155768e-5,14
1499,0.001075498909784574,2.587292667302106e-5,1.8536282455872063e-5,1.2857113046334747e-4,1.7859857729269523e-4,7.391926843374502e-6,3.2895233715600566e-5,4.5487967074858934e-5,7.720966832335023e-6,1.704816224775658e-5,9.60434226034079e-6,3.401740854824017e-5,6.230856310901222e-5,2.7954498175936337e-4,5.784647230079907e-4,9.88777518466495e-5,6.0826099926513926e-5,1.5654505610832625e-4,17
1549,1.564458473305963e-5,6.899447112805615e-7,0,3.36573639956407e-6,2.88062221439831e-6,1.2515296827920276e-4,0,0,0,0,8.012765542912887e-5,3.3738577330631647e-5,2.7761240989163863e-6,3.2657124037308803e-6,5.484606966612294e-6,0,1.45516985470129e-6,1.6151864848307452e-5,11
1809,5.812360972011308e-4,1.2074032447409827e-5,2.9790453946937245e-6,3.8032821315073986e-5,6.0813135637297653e-5,6.984096396843494e-5,1.5104954257163524e-5,2.2065058655715155e-5,3.538776464820219e-6,5.5505644527579565e-6,1.1881943424935891e-4,6.245819274430982e-5,1.8199035759562977e-5,1.2083135893804257e-4,2.7229460469533977e-4,5.216159662634843e-5,9.895155011968772e-6,8.622910751878994e-5,17
1829,5.0911190995719485e-5,0,0,9.424061918779396e-6,1.152248885759324e-5,4.333198494391949e-5,5.370650402547031e-6,6.789248817143124e-7,0,0,3.2654763685158686e-5,7.72362472775617e-5,4.626873498193977e-6,1.6001990778281315e-5,3.903749664471103e-5,2.866021792656507e-7,2.037237796581806e-6,1.724238316823689e-5,13
1843,8.140487310253063e-5,3.7946959120430884e-6,0,5.721751879258919e-6,9.282004913061222e-6,5.097880581637587e-6,7.384644303502168e-6,0,0,3.964688894827112e-6,3.0185075675356768e-6,0,5.860706431045704e-6,1.665513325902749e-5,4.290898391526089e-5,8.31146319870387e-6,3.201373680342838e-6,1.1565100449339835e-5,13
2006,4.274418744015615e-4,1.1384087736129266e-5,1.0261156359500606e-5,1.3631232418234482e-4,1.9268161922975362e-4,7.238990425925374e-5,2.8195914613371913e-5,3.632248117171572e-5,4.5038973188620966e-06,7.929377789654223e-6,1.0894068221015124e-4,1.0484053782080577e-4,5.5830940211540655e-5,2.3055929570340016e-4,4.419947967211084e-4,7.422996442980353e-5,6.490057551967753e-5,1.1815996645168439e-4,17
2341,8.570050484279446e-4,4.139668267683369e-6,5.958090789387449e-6,4.409114683428932e-5,7.489617757435607e-5,4.358687897300137e-5,1.0069969504775684e-5,1.8330971806286436e-5,2.2519486594310483e-6,3.964688894827112e-6,2.908743655988925e-5,7.054429805495708e-5,2.6527408056312134e-5,1.4434448824490493e-4,3.916654622039603e-4,4.585634868250411e-5,1.9499276052997285e-5,1.0540113574044162e-4,17
2357,5.833573968259524e-6,1.2177524154101911e-4,8.142724078829514e-5,6.192954975197888e-5,3.552767397757916e-5,4.2057514798510096e-5,8.492340949027493e-5,1.0693066887000422e-4,1.0873694955538491e-4,7.176086899637073e-5,2.6617748550087332e-5,1.009369007742864e-4,6.786081130684499e-5,2.6125699229847042e-5,1.9357436352749274e-5,4.155731599351935e-5,8.818329319489818e-5,6.42083468905829e-5,17
