Sample,Cohort,Time_int,n_detected,mean_freq,median_freq,max_freq,frac_above_1pct
m5,colonized_2,4,37929,2.6365050489071687e-5,6.330771143636081e-6,0.1078378491990055,3.427456563579319e-4
m5,colonized_2,5,42650,2.3446658851113717e-5,1.003892425564723e-6,0.07835313455370958,3.7514654161781947e-4
m5,colonized_2,6,15354,6.512960791976033e-5,6.465438513518101e-7,0.17065266338890486,7.815552950371239e-4
m5,colonized_2,7,3171,3.15357931251971e-4,3.2558919434581806e-6,0.23295092882457416,0.004415011037527594
m5,colonized_2,8,6898,1.4496955639315743e-4,3.145925318878855e-7,0.21083708353847389,0.0018846042331110468
m5,colonized_2,9,7771,1.2868356710848025e-4,3.2464338735507513e-7,0.2023128893488725,0.0019302535066272038
m5,colonized_2,10,3383,2.955956251847473e-4,1.160244455771868e-6,0.1922049362987119,0.004729530002955957
m5,colonized_2,11,2280,4.385964912280702e-4,2.4223674489183264e-6,0.17764362476144005,0.007456140350877193
m5,colonized_2,12,2609,3.832886163280951e-4,1.8418852063463996e-6,0.1547179889560563,0.006515906477577616
m5,colonized_2,13,2361,4.2354934349851756e-4,2.4823320019759364e-6,0.15131232027473032,0.008047437526471834
m5,colonized_2,14,1596,6.265664160401002e-4,2.599678159843811e-6,0.19057460686367028,0.011904761904761904
m5,colonized_2,15,1856,5.387931034482759e-4,1.5654273491428973e-6,0.21650173324116098,0.009698275862068966
m5,colonized_2,16,1182,8.460236886632825e-4,2.8344122208517312e-6,0.24689667291969497,0.014382402707275803
m5,colonized_2,17,1372,7.288629737609329e-4,1.7993184181831922e-6,0.2722929554284837,0.011661807580174927
m5,colonized_2,18,1273,7.855459544383347e-4,1.5376227061360065e-6,0.27818516237142016,0.01335428122545169
m6,colonized_2,2,51773,1.9315087014467e-5,1.0288096482851773e-5,0.003209886102649753,0
m6,colonized_2,3,49464,2.0216723273491833e-5,1.138831672587093e-5,0.0030766436712576567,0
m6,colonized_2,4,53748,1.860534345464017e-5,4.315424322395393e-6,0.13589105213364538,7.442137381856069e-5
m6,colonized_2,5,29595,3.37894914681534e-5,1.192542791416713e-6,0.07255072580141857,5.068423720223011e-4
m6,colonized_2,6,7196,1.3896609227348526e-4,9.758625282939141e-7,0.2278709753599591,0.0018065591995553086
