ID,10,17,13,3,7,2,6,8,1,4,15,12,5,9,14,18,11,16,mean,points
6284,2.707237063467692e-6,0,3.900807431676471e-6,6.869809733079407e-5,1.6279459717290903e-6,1.116224517732698e-4,1.2284333175684392e-5,3.7751103826546263e-6,0,4.3302474622470794e-5,0,3.3153933714235193e-6,9.704293447125656e-6,9.739301620652254e-7,1.8569129713170081e-6,0,0,0,1.4653832650204353e-5,12
6535,1.809981351004114e-4,1.1995456121221282e-6,2.6951033164310165e-5,3.8537957039225945e-5,1.855858407771163e-4,5.358988356278874e-5,3.1034104864886884e-4,1.4188123188143637e-4,0,8.863079601090513e-6,1.0018735034514543e-5,4.752063832373711e-5,4.985999046971457e-4,2.8373832054833566e-4,1.0398712639375245e-5,4.612868118408019e-6,8.132233578511524e-5,2.503730795085696e-5,1.0606647658249216e-4,17
6585,1.0055451950022856e-5,1.6793638569709795e-5,3.794421774448931e-5,1.0388492767095689e-5,3.744275734976908e-5,8.60770150490389e-6,2.5861754054072403e-5,2.3279847359703528e-5,0,0,4.6336649534629754e-5,5.857194956181551e-5,3.0451403575463264e-5,1.688145614246391e-5,4.048070277471078e-5,2.0911668803449688e-5,1.706038789023907e-4,4.865740979128805e-5,3.351494335477657e-5,16
6674,9.668703798098901e-6,2.3990912242442563e-6,2.4823320019759364e-6,3.4851717670256504e-5,1.62794597172909e-5,3.942882624826944e-5,2.6185025979748308e-5,9.123183424748679e-6,0,4.304924377672535e-6,0,2.5786392888849597e-6,4.049032783111049e-5,1.136251855742763e-5,7.427651885268033e-7,5.227917200862422e-6,1.0381574781078542e-5,0,1.1972611516122018e-5,15
6939,1.0132801580407647e-4,7.976978320612153e-5,3.9008074316764714e-5,3.786773169941332e-5,6.072238474549507e-4,2.6656107886153983e-5,6.064581325679979e-4,2.5890965374372976e-4,0,2.2942714624537156e-4,2.4733752116457776e-5,4.2731736787236475e-5,9.168884153491136e-4,1.7368421223496518e-4,3.1567520512389136e-5,3.782551857094576e-5,9.827890792754353e-5,5.1019419975331164e-5,1.8685433202214236e-4,17
7305,4.408928931933099e-5,5.997728060610641e-7,6.383139433652408e-6,9.383154757376752e-6,2.132609222965108e-4,3.0543456952884774e-6,2.6799242638532526e-4,1.1356790401152667e-4,0,0,8.766393155200224e-6,1.2524819403155517e-5,2.897902801796834e-4,7.531726586637743e-5,4.456591131160819e-6,5.535441742089623e-6,2.2493412025670174e-5,0,5.984528656713387e-5,15
7325,6.187970430783297e-6,1.619386576364873e-5,3.900807431676471e-6,2.828350934009278e-4,4.883837915187271e-6,2.9488319349057845e-4,2.909447331083145e-6,1.5729626594394275e-6,0,5.900278705868827e-5,4.070111107771533e-6,4.420524495231359e-6,2.0412479319816033e-5,1.6232169367753757e-6,0,1.5376227061360065e-6,4.152629912431417e-6,1.0392844809789681e-5,3.994329970944246e-5,16
7344,8.315085266365054e-5,1.7393411375770858e-5,2.9078746308860968e-5,2.087751933516327e-4,2.653551933918417e-4,3.1376460324327083e-4,6.009625098315074e-4,1.7050915228323396e-4,0,1.364914258567939e-4,1.0018735034514543e-5,2.9101786260273114e-5,8.456120531340183e-4,1.12326612024856e-4,1.4112538582009262e-5,8.610687154361636e-6,4.775524399296129e-5,0,1.6072326358275316e-4,16
7390,4.718327453472264e-5,3.5986368363663845e-6,1.6312467441556154e-5,1.3404506796252502e-5,1.334915696817854e-4,1.9436745333653948e-5,1.596963312838971e-4,1.129387189477509e-4,0,2.0258467659635458e-5,7.827136745714486e-6,1.3998327568232637e-5,2.8209377158368716e-4,5.811116633655845e-5,8.541799668058237e-6,0,2.0071044576751847e-5,4.724020368086219e-7,5.0968687057301775e-5,16
7422,9.784728243676088e-5,0,2.4114082304909094e-5,1.069009417001137e-4,1.1395621802103631e-4,9.357404539201971e-5,8.534378837843892e-5,3.3346808380115867e-5,0,3.216031740967129e-5,2.191598288800056e-6,2.1734245434887517e-5,1.3719863149384547e-4,1.4673881108449396e-4,4.456591131160819e-6,5.842966283316825e-6,6.228944868647125e-5,1.4644463141067278e-5,5.457445775372828e-5,16
7486,1.972415574812176e-5,1.49943201515266e-6,5.67390171880214e-6,7.637217747164862e-4,1.302356777383272e-4,8.032929178608696e-4,1.2122697212846438e-4,7.141250473855001e-5,0,3.9706596612885497e-4,9.392564094857384e-7,9.946180114270559e-6,2.4327659779518454e-4,3.8307919707898866e-5,3.3424433483706147e-6,1.8451472473632076e-6,1.6610519649725667e-5,0,1.4600674261477378e-4,16
7646,6.652068213092044e-5,1.1995456121221282e-6,2.0213274873232626e-5,1.7760971505034564e-5,3.304730322610053e-4,3.776281950538481e-5,4.192836876016488e-4,1.739696701340007e-4,0,3.9250781090543704e-5,1.3149589732800336e-5,2.6523146971388154e-5,6.28102027594995e-4,1.2726020784318946e-4,1.0770095233638646e-5,1.5376227061360064e-5,3.079867185053301e-5,4.724020368086219e-6,1.0906324729832689e-4,17
7791,2.320488911543736e-6,0,5.319282861377006e-6,8.11642886513089e-4,4.883837915187271e-6,8.349470459756774e-4,1.2607605101360296e-5,1.8875551913273131e-6,0,3.03370553203041e-4,9.392564094857384e-7,0,6.726079251283643e-5,1.6232169367753757e-6,4.827973725424221e-6,0,1.7302624635130903e-6,0,1.1407559765114654e-4,13
7803,1.0828948253870769e-5,0,3.191569716826204e-6,0,1.4651513745561813e-5,0,5.4309683513552044e-5,3.554895610333106e-5,0,0,1.2523418793143179e-6,6.2624097015777585e-6,7.261488544918163e-5,2.012789001601466e-5,2.2282955655804097e-6,6.150490824544026e-7,1.1419732259186396e-5,0,1.2947293071469526e-5,12
